Data;Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12;
1957.10;1313,0391911752;
1957.11;1307,18946208497;
1957.12;1301,39162414328;
1958.01;1274,43329447509;
1958.02;1248,16061857459;
1958.03;1223,73399113377;
1958.04;1208,6118030304;
1958.05;1193,85879510609;
1958.06;1179,46161112058;
1958.07;1168,26304758467;
1958.08;1157,27513663955;
1958.09;1146,49198988998;
1958.10;1130,52129530645;
1958.11;1114,98943302074;
1958.12;1100,19580339312;
1959.01;1654,13442679019;
1959.02;1578,69028779635;
1959.03;1510,20648143006;
1959.04;1484,15560570308;
1959.05;1458,9882383583;
1959.06;1434,6601829307;
1959.07;1417,10669363367;
1959.08;1399,97755647212;
1959.09;1383,25756728137;
1959.10;1352,80850133492;
1959.11;1323,38023466119;
1959.12;1295,48364120092;
1960.01;1249,26435344183;
1960.02;1206,22941076368;
1960.03;1164,93296865437;
1960.04;1147,18160913201;
1960.05;1129,96312344148;
1960.06;1113,04813305176;
1960.07;1099,43472945292;
1960.08;1086,15030621156;
1960.09;1072,99188454357;
1960.10;1677,34125617214;
1960.11;1639,66743520656;
1960.12;1603,6487796154;
1961.01;1542,30562047198;
1961.02;1485,71161219687;
1961.03;1432,91085750319;
1961.04;1401,03598672709;
1961.05;1370,7433167438;
1961.06;1341,54608335082;
1961.07;1320,22544413056;
1961.08;1299,39664464791;
1961.09;1279,21485685768;
1961.10;1719,45650310891;
1961.11;1653,29114257261;
1961.12;1592,02923334818;
1962.01;1490,37292569515;
1962.02;1400,9195974447;
1962.03;1321,5963678872;
1962.04;1278,75409700403;
1962.05;1238,602251505;
1962.06;1200,89511513197;
1962.07;1170,37006362388;
1962.08;1141,35835223287;
1962.09;1113,84211718895;
1962.10;1080,7382619076;
1962.11;1072,1493859487;
1962.12;1020,17965240415;
1963.01;1480,09142450504;
1963.02;1381,35400182181;
1963.03;1294,88679082258;
1963.04;1252,4188739707;
1963.05;1212,64810837029;
1963.06;1175,32545680517;
1963.07;1135,13527559509;
1963.08;1097,60281529814;
1963.09;1062,4728864819;
1963.10;1021,78681860401;
1963.11;984,14781585512;
1963.12;949,055065859295;
1964.01;878,60378742084;
1964.02;1644,84117418757;
1964.03;1543,20890719286;
1964.04;1493,88484233732;
1964.05;1446,32488715227;
1964.06;1403,0992823111;
1964.07;1350,42519413183;
1964.08;1301,562907462;
1964.09;1255,02870134561;
1964.10;1197,56062196346;
1964.11;1145,09395484699;
1964.12;1096,43245001695;
1965.01;1019,93284469824;
1965.02;953,411975295724;
1965.03;1406,90475328365;
1965.04;1348,89721723692;
1965.05;1295,48364120092;
1965.06;1246,23284287761;
1965.07;1202,92221243007;
1965.08;1162,52084521959;
1965.09;1123,79118481771;
1965.10;1088,95325170739;
1965.11;1056,19351020126;
1965.12;1026,2208269804;
1966.01;979,21452535435;
1966.02;936,339117609943;
1966.03;1142,14683939103;
1966.04;1099,27705919199;
1966.05;1059,50903811418;
1966.06;1021,35362208471;
1966.07;989,680954390449;
1966.08;959,913572231049;
1966.09;932,894994315337;
1966.10;910,13728259235;
1966.11;888,472827455723;
1966.12;867,458650334905;
1967.01;843,178482712031;
1967.02;827,456803446546;
1967.03;1005,69952613553;
1967.04;982,267570726972;
1967.05;958,157366718219;
1967.06;938,533484764061;
1967.07;926,162656757505;
1967.08;914,113706322672;
1967.09;903,147475055733;
1967.10;891,686212681929;
1967.11;881,248414205719;
1967.12;871,772624805658;
1968.01;847,926873201963;
1968.02;832,522198570332;
1968.03;1005,33535143408;
1968.04;982,555849513373;
1968.05;966,496244246438;
1968.06;948,872315649676;
1968.07;928,553850646471;
1968.08;914,841030067304;
1968.09;901,527335243039;
1968.10;887,989040788878;
1968.11;874,851341463151;
1968.12;862,096716206564;
1969.01;840,920455562835;
1969.02;831,248527000451;
1969.03;820,75958659666;
1969.04;810,532052807293;
1969.05;957,738774596453;
1969.06;930,976751762902;
1969.07;916,804974511242;
1969.08;905,669691420012;
1969.09;890,223363539057;
1969.10;876,765339566182;
1969.11;862,756416785235;
1969.12;851,034182861522;
1970.01;831,600051229528;
1970.02;821,565003392026;
1970.03;803,851589561192;
1970.04;795,682366090041;
1970.05;940,482220099221;
1970.06;925,201120511198;
1970.07;907,769795052291;
1970.08;885,524729386542;
1970.09;869,543487162537;
1970.10;858,813288737771;
1970.11;848,344684315234;
1970.12;840,753233001451;
1971.01;824,521051232226;
1971.02;814,160951368389;
1971.03;801,656772934404;
1971.04;791,526316663118;
1971.05;939,251968654748;
1971.06;917,931291620024;
1971.07;901,48745876855;
1971.08;890,498032413133;
1971.09;879,431649097708;
1971.10;867,638504378007;
1971.11;854,864664562702;
1971.12;845,291711992011;
1972.01;825,56926592293;
1972.02;810,209837719713;
1972.03;796,25052616969;
1972.04;788,487638031545;
1972.05;932,332807421735;
1972.06;923,398749034394;
1972.07;912,160630384888;
1972.08;902,700282595684;
1972.09;883,487604675344;
1972.10;872,629736312581;
1972.11;863,967705628722;
1972.12;857,378819408484;
1973.01;845,821675447806;
1973.02;841,338055715154;
1973.03;834,571959380915;
1973.04;825,381200574641;
1973.05;947,883109240433;
1973.06;933,474155865988;
1973.07;918,687530927073;
1973.08;903,05818711949;
1973.09;888,959918515581;
1973.10;885,19100987292;
1973.11;880,462691293335;
1973.12;874,317641800779;
1974.01;862,994156222207;
1974.02;862,043983740818;
1974.03;832,705608330335;
1974.04;784,717061621245;
1974.05;920,929575190714;
1974.06;907,451479200638;
1974.07;888,897242140602;
1974.08;871,086541987163;
1974.09;857,654822065365;
1974.10;839,755276489401;
1974.11;821,337191163575;
1974.12;885,240183937258;
1975.01;858,790600860624;
1975.02;839,925591692182;
1975.03;826,926743249327;
1975.04;809,10712210767;
1975.05;1025,73085189365;
1975.06;1000,96587343692;
1975.07;978,441394396903;
1975.08;941,577581298146;
1975.09;923,370280002325;
1975.10;903,405517191464;
1975.11;884,285823705931;
1975.12;869,336908610772;
1976.01;841,038003109525;
1976.02;802,66556532695;
1976.03;781,323690543969;
1976.04;757,959277462227;
1976.05;1047,56901934599;
1976.06;1026,23274938327;
1976.07;999,618829534121;
1976.08;974,473570138685;
1976.09;947,175379452898;
1976.10;920,594747237538;
1976.11;891,323900262128;
1976.12;872,361707974102;
1977.01;837,577185285435;
1977.02;808,416570193702;
1977.03;783,202317724997;
1977.04;754,75429933103;
1977.05;1044,2750501182;
1977.06;1022,54536028055;
1977.07;997,562665769071;
1977.08;981,430289678956;
1977.09;966,063427105694;
1977.10;940,537360942332;
1977.11;909,050107064505;
1977.12;887,900956028707;
1978.01;856,075322439456;
1978.02;829,538777861299;
1978.03;803,550043991539;
1978.04;783,427282590792;
1978.05;1077,25845931838;
1978.06;1041,92088393453;
1978.07;987,452955268762;
1978.08;958,383558642024;
1978.09;938,846991105704;
1978.10;913,22266079501;
1978.11;893,525190565023;
1978.12;875,53977996377;
1979.01;827,294429662512;
1979.02;804,26445632522;
1979.03;777,431683281304;
1979.04;751,50336837494;
1979.05;1073,67959562923;
1979.06;1042,409443179;
1979.07;989,393092878399;
1979.08;935,29139311201;
1979.09;877,319808218176;
1979.10;835,035134428775;
1979.11;1017,67456577286;
1979.12;973,793140794072;
1980.01;913,830455187603;
1980.02;877,43070619208;
1980.03;834,668437958221;
1980.04;796,059367077036;
1980.05;1067,28598793488;
1980.06;1011,42145096707;
1980.07;958,565737054683;
1980.08;911,644157540208;
1980.09;872,778710333487;
1980.10;796,003775669641;
1980.11;1027,9405473064;
1980.12;962,474657245094;
1981.01;906,203888639105;
1981.02;854,480493830977;
1981.03;811,060955248755;
1981.04;761,277820267392;
1981.05;1055,0322031792;
1981.06;1004,10893122449;
1981.07;945,471003606259;
1981.08;890,908624217087;
1981.09;846,263518721889;
1981.10;808,880393388716;
1981.11;1083,14690242039;
1981.12;1024,8583575165;
1982.01;960,38196894107;
1982.02;901,128590824823;
1982.03;856,271065106561;
1982.04;810,494435526286;
1982.05;1057,98678883987;
1982.06;987,455996153671;
1982.07;928,131631468716;
1982.08;879,185546311391;
1982.09;842,904980967083;
1982.10;811,220210066145;
1982.11;1093,65618493369;
1982.12;1010,91060584079;
1983.01;926,212265213119;
1983.02;857,285156589682;
1983.03;799,551502973678;
1983.04;750,291828725944;
1983.05;1037,49351014902;
1983.06;936,085269178216;
1983.07;840,076377575819;
1983.08;764,770032297351;
1983.09;687,294213022334;
1983.10;624,265047941141;
1983.11;954,957152009037;
1983.12;881,41284687549;
